date,dpm m-3,+/- error,team
6/1/1973,1820,44,1
6/1/1973,1843,44,1
7/1/1976,1976,20,2
7/1/1979,1832,91,3
7/1/1980,1399,67,3
5/15/1983,1598,67,4
5/15/1983,1456,36,4
5/15/1983,1447,29,4
5/15/1983,1476,31,4
8/20/1987,1208,67,5
5/26/1988,1272,44,5
9/1/1988,1126,22,5
9/1/1988,1257,24,5
9/1/1988,1299,31,5
6/1/1998,888,67,6
4/21/1999,848,87,7
4/19/1999,964,62,7
5/29/1999,834,21,7
7/14/2006,909,103,7
7/18/2006,786,15,7
7/18/2006,806,9,7
7/20/2006,787,10,7
7/18/2006,819,11,7
7/20/2006,837,17,7
8/6/2005,762,14,7
8/6/2005,870,91,7
8/6/2005,809,46,7
8/6/2005,787,47,8
1/19/2006,877,69,8
9/28/2006,786,16,8
8/28/2009,759,18,8
3/10/2014,674,26,8
